,x,,,,,,,,,,,,,State,Year
88,https://www.myneta.info/pb2012/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,PUNJAB,2012
89,https://www.myneta.info/pb2007/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,PUNJAB,2007
90,https://www.myneta.info/Rajasthan2023/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,RAJASTHAN,2023
91,https://www.myneta.info/rajasthan2018/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,RAJASTHAN,2018
92,https://www.myneta.info/rajasthan2013/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,RAJASTHAN,2013
93,https://www.myneta.info/rj2008/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,RAJASTHAN,2008
94,https://www.myneta.info/sikkim2019/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,SIKKIM,2019
95,https://www.myneta.info/sikkim2014/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,SIKKIM,2014
96,https://www.myneta.info/sikkim2009/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,SIKKIM,2009
97,https://www.myneta.info/sikkim2004/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,SIKKIM,2004
98,https://www.myneta.info/TamilNadu2021/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,TAMIL NADU,2021
99,https://www.myneta.info/tamilnadu2016/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,TAMIL NADU,2016
100,https://www.myneta.info/tamilnadu2011/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,TAMIL NADU,2011
101,https://www.myneta.info/tn2006/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,TAMIL NADU,2006
102,https://www.myneta.info/telangana2018/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,TELANGANA,2018
103,https://www.myneta.info/telangana2014/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,TELANGANA,2014
104,https://www.myneta.info/Tripura2023/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,TRIPURA,2023
105,https://www.myneta.info/tripura2018/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,TRIPURA,2018
106,https://www.myneta.info/tripura2013/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,TRIPURA,2013
107,https://www.myneta.info/tripura2008/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,TRIPURA,2008
108,https://www.myneta.info/uttarakhand2022/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,UTTARAKHAND,2022
109,https://www.myneta.info/uttarakhand2017/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,UTTARAKHAND,2017
110,https://www.myneta.info/utt2012/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,UTTARAKHAND,2012
111,https://www.myneta.info/utk07/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,UTTARAKHAND,2007
112,https://www.myneta.info/uttarpradesh2022/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,UTTAR PRADESH,2022
113,https://www.myneta.info/uttarpradesh2017/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,UTTAR PRADESH,2017
114,https://www.myneta.info/up2012/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,UTTAR PRADESH,2012
115,https://www.myneta.info/up2007/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,UTTAR PRADESH,2007
116,https://www.myneta.info/WestBengal2021/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,WEST BENGAL,2021
117,https://www.myneta.info/westbengal2016/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,WEST BENGAL,2016
118,https://www.myneta.info/westbengal2011/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,WEST BENGAL,2011
119,https://www.myneta.info/wb2006/index.php?action=summary&subAction=winner_serious_crime&sort=candidate#summary,,,,,,,,,,,,,WEST BENGAL,2006
