,Candidate,Party,Criminal.Cases,Education,Age,Total.Assets,Liabilities,Constituency,State,District,Year
3198,Peddireddy Dwarakanatha Reddy,YSRCP,2,8th Pass,50,228313271,6989782,THAMBALLAPALLE,ANDHRA PRADESH,CHITTOOR,2019
3199,Bhumana Karunakar Reddy,YSRCP,0,Graduate,60,154406012,4830470,TIRUPATI,ANDHRA PRADESH,CHITTOOR,2019
3200,Viswarupu Pinipe,YSRCP,1,Graduate Professional,56,33086943,9879111,AMALAPURAM,ANDHRA PRADESH,EAST GODAVARI,2019
3201,Sathi Suryanarayana Reddy,YSRCP,0,Post Graduate,58,173301892,6123848,ANAPARTHY,ANDHRA PRADESH,EAST GODAVARI,2019
3202,Kondeti Chitti Babu,YSRCP,0,Post Graduate,55,30911035,548930,GANNAVARAM,ANDHRA PRADESH,EAST GODAVARI,2019
3203,Jyothula Naga Veera Venkata Vishnu Satya Marthanda Rao,YSRCP,0,Post Graduate,41,73946000,19379114,JAGGAMPETA,ANDHRA PRADESH,EAST GODAVARI,2019
3204,Chandra Sekhara Reddy Dwarampudi,YSRCP,0,12th Pass,51,428915000,219423000,KAKINADA CITY,ANDHRA PRADESH,EAST GODAVARI,2019
3205,Kurasala Kannababu,YSRCP,3,Post Graduate,50,8520469,1638000,KAKINADA RURAL,ANDHRA PRADESH,EAST GODAVARI,2019
3206,Jaggireddy Chirla,YSRCP,3,Post Graduate,42,37045377,9464709,KOTHAPETA,ANDHRA PRADESH,EAST GODAVARI,2019
3207,Vegulla Jogeswara Rao,TDP,0,Graduate,64,360376068,78119793,MANDAPETA,ANDHRA PRADESH,EAST GODAVARI,2019
3208,Ponnada Venkata Satish Kumar,YSRCP,0,12th Pass,46,66961982,7444618,MUMMIDIVARAM,ANDHRA PRADESH,EAST GODAVARI,2019
3209,Nimmakayala China Rajappa,TDP,0,Graduate,66,12695777,1650000,PEDDAPURAM,ANDHRA PRADESH,EAST GODAVARI,2019
3210,Dorababu Pendem,YSRCP,2,10th Pass,59,10734000,0,PITHAPURAM,ANDHRA PRADESH,EAST GODAVARI,2019
3211,Sri Purnachandra Prasadu Parvatha,YSRCP,0,10th Pass,54,15119875,2933573,PRATHIPADU,ANDHRA PRADESH,EAST GODAVARI,2019
3212,Adireddy Bhavani,TDP,0,Post Graduate,34,488289301,85709699,RAJAHMUNDRY CITY,ANDHRA PRADESH,EAST GODAVARI,2019
3213,Buchayya Chowdary Gorantla,TDP,0,Graduate,73,120971694,29098475,RAJAMUNDRY RURAL,ANDHRA PRADESH,EAST GODAVARI,2019
3214,Jakkampudi Raja,YSRCP,6,Post Graduate,31,28405860,1259971,RAJANAGARAM,ANDHRA PRADESH,EAST GODAVARI,2019
3215,Srinivasa Venu Gopala Krishna Chelluboyina,YSRCP,0,Graduate,56,36330000,1380000,RAMACHANDRAPURAM,ANDHRA PRADESH,EAST GODAVARI,2019
3216,Nagulapalli Dhanalakshmi,YSRCP,0,Graduate Professional,34,675000,0,RAMPACHODAVARAM,ANDHRA PRADESH,EAST GODAVARI,2019
3217,Rapaka Varaprasadarao,Janasena Party,2,10th Pass,60,11954622,1253853,RAZOLE,ANDHRA PRADESH,EAST GODAVARI,2019
3218,Dadisetti Raja,YSRCP,15,8th Pass,43,155108658,6563109,TUNI,ANDHRA PRADESH,EAST GODAVARI,2019
3219,Kona Raghupathi,YSRCP,0,Graduate,59,283427209,8353550,BAPATLA,ANDHRA PRADESH,GUNTUR,2019
3220,Rajini Vidadala,YSRCP,0,Graduate,29,1281406682,0,CHILAKALURIPET,ANDHRA PRADESH,GUNTUR,2019
3221,Mohammad Musthafa Shaik,YSRCP,8,5th Pass,57,431673981,77458360,GUNTUR EAST,ANDHRA PRADESH,GUNTUR,2019
3222,Maddali Giridhara Rao,TDP,0,Graduate,45,494408653,139784727,GUNTUR WEST,ANDHRA PRADESH,GUNTUR,2019
3223,Mahesh Reddy Kasu,YSRCP,6,Graduate Professional,43,73255098,5337375,GURAZALA,ANDHRA PRADESH,GUNTUR,2019
3224,Ramakrishna Reddy Pinnelli,YSRCP,4,12th Pass,50,63189172,25863583,MACHERLA,ANDHRA PRADESH,GUNTUR,2019
3225,Rama Krishna Reddy Alla,YSRCP,7,12th Pass,51,248112016,55784063,MANGALAGIRI,ANDHRA PRADESH,GUNTUR,2019
3226,Srinivasa Reddy Gopireddy,YSRCP,4,Post Graduate,50,100895270,31236067,NARASARAOPET,ANDHRA PRADESH,GUNTUR,2019
3227,Sankara Rao Namburu,YSRCP,0,12th Pass,52,279187263,70045810,PEDAKURAPADU,ANDHRA PRADESH,GUNTUR,2019
3228,Venkatroshaiah Kilari,YSRCP,0,Graduate,52,810175057,159919997,PONNUR,ANDHRA PRADESH,GUNTUR,2019
3229,Sucharitha Mekathoti,YSRCP,1,Graduate,47,86944937,16358679,PRATHIPADU (SC),ANDHRA PRADESH,GUNTUR,2019
3230,Anagani Satyaprasad,TDP,1,Graduate,47,88403523,3900000,REPALLE,ANDHRA PRADESH,GUNTUR,2019
3231,Rambabu Ambati,YSRCP,2,Graduate Professional,61,152709557,10452819,SATTENAPALLI,ANDHRA PRADESH,GUNTUR,2019
3232,Vundavall Sridevi,YSRCP,0,Graduate Professional,51,93911984,25485940,TADIKONDA (SC),ANDHRA PRADESH,GUNTUR,2019
3233,Annabathuni Siva Kumar,YSRCP,1,Graduate,51,271302444,51741024,TENALI,ANDHRA PRADESH,GUNTUR,2019
3234,Merugu Nagarjuna,YSRCP,2,Doctorate,54,53140117,34550000,VEMURU (SC),ANDHRA PRADESH,GUNTUR,2019
3235,Bolla Brahma Naidu,YSRCP,6,Illiterate,63,1731324838,5.00E+06,VINUKONDA,ANDHRA PRADESH,GUNTUR,2019
3236,Gunthoti Venkata Subbaiah,YSRCP,0,Post Graduate,59,11248613,3779935,BADVEL,ANDHRA PRADESH,KADAPA,2019
3237,Dasari Sudha,YSRCP,0,Graduate Professional,49,15972177,0,BADVEL (SC),ANDHRA PRADESH,KADAPA,2019
3238,Mule Sudheer Reddy,YSRCP,4,Graduate Professional,38,112400856,5960707,JAMMALAMADUGU,ANDHRA PRADESH,KADAPA,2019
3239,Amzath Basha Shaik Bepari,YSRCP,3,12th Pass,47,39033165,1601000,KADAPA,ANDHRA PRADESH,KADAPA,2019
3240,Pochimareddy Ravindranath Reddy,YSRCP,7,12th Pass,60,405386017,140088200,KAMALAPURAM,ANDHRA PRADESH,KADAPA,2019
3241,Koramutla Sreenivasulu,YSRCP,0,Post Graduate,49,18073500,220000,KODUR,ANDHRA PRADESH,KADAPA,2019
3242,Raghurami Reddy Settipally,YSRCP,4,10th Pass,73,54093712,1804139,MYDUKUR,ANDHRA PRADESH,KADAPA,2019
3243,Rachamallu Siva Prasad Reddy,YSRCP,3,Graduate,53,36075520,28268908,PRODDATUR,ANDHRA PRADESH,KADAPA,2019
3244,Yeduguri Sandinti Jagan Mohan Reddy,YSRCP,38,Graduate,46,5103816566,11921202,PULIVENDLA,ANDHRA PRADESH,KADAPA,2019
3245,Meda Venkata Mallikarjuna Reddy,YSRCP,0,Graduate,56,506093454,104814157,RAJAMPET,ANDHRA PRADESH,KADAPA,2019
3246,Gadikokta. Srikanth Reddy,YSRCP,1,Graduate Professional,46,64943164,2.00E+07,RAYACHOTI,ANDHRA PRADESH,KADAPA,2019
3247,Simhadri Ramesh Babu,YSRCP,3,12th Pass,63,162992458,5619927,AVANIGADDA,ANDHRA PRADESH,KRISHNA,2019
3248,Vallabhaneni Vamsi Mohan,TDP,0,Post Graduate,48,837400805,61271414,GANNAVARAM,ANDHRA PRADESH,KRISHNA,2019
3249,Kodali Sri Venkateswara Rao,YSRCP,4,8th Pass,47,148219363,21764851,GUDIVADA,ANDHRA PRADESH,KRISHNA,2019
3250,Udayabhanu Samineni,YSRCP,18,Graduate,64,173572554,21369486,JAGGAYYAPETA,ANDHRA PRADESH,KRISHNA,2019
3251,Dulam Nageswara Rao,YSRCP,3,8th Pass,61,146376630,31538097,KAIKALUR,ANDHRA PRADESH,KRISHNA,2019
3252,Perni Venkataramaiah (Nani),YSRCP,2,Graduate,53,15625097,11048757,MACHILIPATNAM,ANDHRA PRADESH,KRISHNA,2019
3253,Vasantha Venkata Krishna Prasad,YSRCP,3,10th Pass,49,1195524003,323074016,MYLAVARAM,ANDHRA PRADESH,KRISHNA,2019
3254,Monditoka . Jagan Mohana Rao,YSRCP,5,Post Graduate,54,22626537,7186188,NANDIGAMA,ANDHRA PRADESH,KRISHNA,2019
3255,Venkata Pratap Apparao Meka,YSRCP,2,Graduate,68,179913456,2487625,NUZVID,ANDHRA PRADESH,KRISHNA,2019
3256,Anil Kumar Kaile,YSRCP,2,Graduate Professional,41,25155000,2963541,PAMARRU,ANDHRA PRADESH,KRISHNA,2019
3257,Jogi Ramesh,YSRCP,16,Graduate,50,9093000,0,PEDANA,ANDHRA PRADESH,KRISHNA,2019
3258,Kolusu Partha Sarathy,YSRCP,9,12th Pass,53,84326050,8241836,PENAMALURU,ANDHRA PRADESH,KRISHNA,2019
3259,Kokkiligadda Rakshana Nidhi,YSRCP,1,5th Pass,56,57340797,0,TIRUVURU,ANDHRA PRADESH,KRISHNA,2019
3260,Vishnu Vardhan Malladi,YSRCP,2,12th Pass,56,99606254,21430938,VIJAYAWADA CENTRAL,ANDHRA PRADESH,KRISHNA,2019
3261,Gadde Rama Mohan,TDP,0,Post Graduate,62,141751000,38981000,VIJAYAWADA EAST,ANDHRA PRADESH,KRISHNA,2019
3262,Velam Palli Srinivasa Rao,YSRCP,2,10th Pass,47,106531419,27400956,VIJAYWADA WEST,ANDHRA PRADESH,KRISHNA,2019
3263,Y. Sai Prasad Reddy,YSRCP,0,10th Pass,56,93223587,10113204,ADONI,ANDHRA PRADESH,KURNOOL,2019
3264,Brijendra Reddy Gangula,YSRCP,1,Graduate,32,17132578,7529752,ALLAGADDA,ANDHRA PRADESH,KURNOOL,2019
3265,P Jayaram,YSRCP,0,10th Pass,51,8838755,0,ALUR,ANDHRA PRADESH,KURNOOL,2019
3266,Katasani Rami Reddy,YSRCP,0,Graduate,52,173972634,28075869,BANAGANAPALLE,ANDHRA PRADESH,KURNOOL,2019
3267,Buggana Rajendranath,YSRCP,2,Graduate Professional,48,76429937,2394870,DHONE,ANDHRA PRADESH,KURNOOL,2019
3268,Jaradoddi Sudhakar,YSRCP,0,Post Graduate,44,15435600,2.00E+06,KODUMUR,ANDHRA PRADESH,KURNOOL,2019
3269,Abdul Hafeez Khan Mohammed,YSRCP,0,Post Graduate,42,36786431,3330035,KURNOOL,ANDHRA PRADESH,KURNOOL,2019
3270,Yallareddy Gari Balanagi Reddy,YSRCP,1,10th Pass,55,22964407,2379258,MANTRALAYAM,ANDHRA PRADESH,KURNOOL,2019
3271,Thoguru Arthur,YSRCP,0,Graduate,63,12341417,7750469,NANDIKOTKUR,ANDHRA PRADESH,KURNOOL,2019
3272,Singareddy Ravi Chandra Kishore Reddy,YSRCP,4,Post Graduate,35,518777091,351322222,NANDYAL,ANDHRA PRADESH,KURNOOL,2019
3273,Katasani Rambhupal Reddy,YSRCP,0,Graduate,58,391176282,30517101,PANYAM,ANDHRA PRADESH,KURNOOL,2019
3274,K Sreedevi,YSRCP,0,12th Pass,47,30645263,4475146,PATTIKONDA,ANDHRA PRADESH,KURNOOL,2019
3275,S Chakrapani Reddy,YSRCP,1,12th Pass,55,684990680,169056954,SRISAILAM,ANDHRA PRADESH,KURNOOL,2019
3276,K Chennakesava Reddy,YSRCP,1,10th Pass,79,17698887,99400,YEMMIGANUR,ANDHRA PRADESH,KURNOOL,2019
3277,Mekapati Goutham Reddy,YSRCP,3,Post Graduate,47,619570076,137701,ATMAKUR,ANDHRA PRADESH,NELLORE,2019
3278,Mekapati.Vikram Reddy,YSRCP,4,Post Graduate,49,1266212625,110804000,ATMAKUR,ANDHRA PRADESH,NELLORE,2019
3279,Varaprasad Rao Velagapalli,YSRCP,0,Doctorate,65,241166131,13351179,GUDUR,ANDHRA PRADESH,NELLORE,2019
3280,Ramireddy Pratap Kumar Reddy,YSRCP,7,Graduate Professional,54,2424651758,278644628,KAVALI,ANDHRA PRADESH,NELLORE,2019
3281,Nallapareddy Prasanna Kumar Reddy,YSRCP,1,Graduate,57,179183728,23275243,KOVUR,ANDHRA PRADESH,NELLORE,2019
3282,Poluboina Anil Kumar,YSRCP,2,Graduate Professional,38,59491202,9666074,NELLORE CITY,ANDHRA PRADESH,NELLORE,2019
3283,Kotamreddy Sridhar Reddy,YSRCP,3,12th Pass,54,18690497,43580,NELLORE RURAL,ANDHRA PRADESH,NELLORE,2019
3284,Kakani Govardhan Reddy,YSRCP,7,Post Graduate,54,221877471,0,SARVEPALLI,ANDHRA PRADESH,NELLORE,2019
3285,Kiliveti Sanjeevaiah,YSRCP,0,Graduate Professional,53,61289779,10422961,SULLURPETA,ANDHRA PRADESH,NELLORE,2019
3286,Mekapati Chandra Sekhar Reddy,YSRCP,0,12th Pass,66,183328972,16996242,UDAYAGIRI,ANDHRA PRADESH,NELLORE,2019
3287,Anam Ramanarayana Reddy,YSRCP,1,Graduate Professional,67,186925781,11396952,VENKATAGIRI,ANDHRA PRADESH,NELLORE,2019
3288,Gottipati Ravi Kumar,TDP,1,12th Pass,45,583767374,139851224,ADDANKI,ANDHRA PRADESH,PRAKASAM,2019
3289,Balarama Krishna Murthy Karanam,TDP,2,12th Pass,72,86622882,0,CHIRALA,ANDHRA PRADESH,PRAKASAM,2019
3290,Venugopal Rao Maddisetty,YSRCP,0,Post Graduate,53,1597904239,178249861,DARSI,ANDHRA PRADESH,PRAKASAM,2019
3291,Anna Rambabu,YSRCP,0,Graduate,54,428465354,63761872,GIDDALUR,ANDHRA PRADESH,PRAKASAM,2019
3292,Maheedhar Reddy Manugunta,YSRCP,0,Graduate,61,53024398,1025000,KANDUKUR,ANDHRA PRADESH,PRAKASAM,2019
3293,Burra Madhu Sudhana Rao,YSRCP,2,Literate,48,373652000,39414000,KANIGIRI,ANDHRA PRADESH,PRAKASAM,2019
3294,Doctor Dola Sree Bala Veeranjaneya Swamy,TDP,0,Graduate Professional,49,2541600,144385,KONDAPI,ANDHRA PRADESH,PRAKASAM,2019
3295,Kunduru Nagarjuna Reddy,YSRCP,0,Post Graduate,39,101981100,617863,MARKAPURAM,ANDHRA PRADESH,PRAKASAM,2019
3296,Balineni Srinivasa Reddy (Vasu),YSRCP,2,12th Pass,55,57572658,0,ONGOLE,ANDHRA PRADESH,PRAKASAM,2019
3297,Yeluri Samba Siva Rao,TDP,0,Post Graduate,41,419017447,4814026,PARCHUR,ANDHRA PRADESH,PRAKASAM,2019
3298,Thalathoti Jaya Ratna Sudhakar Babu,YSRCP,0,Post Graduate,46,6999954,0,SANTHANUTHALAPADU,ANDHRA PRADESH,PRAKASAM,2019
3299,Dr. Suresh Audimulapu,YSRCP,2,Doctorate,54,162292753,27428000,YERRAGONDAPALEM,ANDHRA PRADESH,PRAKASAM,2019
3300,Thammineni Seetharam,YSRCP,1,12th Pass,64,97497613,0,AMADALAVALASA,ANDHRA PRADESH,SRIKAKULAM,2019
3301,Kiran Kumar Gorle,YSRCP,4,Post Graduate,53,34038403,603553,ETCHERLA,ANDHRA PRADESH,SRIKAKULAM,2019
3302,Ashok Bendalam,TDP,0,Graduate Professional,37,12120000,3711037,ICHCHAPURAM,ANDHRA PRADESH,SRIKAKULAM,2019
3303,Dharmana Krishna Das,YSRCP,0,Graduate,64,29296386,0,NARASANNAPETA,ANDHRA PRADESH,SRIKAKULAM,2019
3304,Viswasarayi Kalavathi,YSRCP,0,Post Graduate,53,13418979,1075436,PALAKONDA,ANDHRA PRADESH,SRIKAKULAM,2019
3305,Appalaraju Seediri,YSRCP,4,Post Graduate,39,15228826,6049431,PALASA,ANDHRA PRADESH,SRIKAKULAM,2019
3306,Shanthi Reddy,YSRCP,0,10th Pass,51,67167875,2.00E+06,PATHAPATNAM,ANDHRA PRADESH,SRIKAKULAM,2019
3307,Kambala Jogulu,YSRCP,2,Graduate Professional,52,4065437,0,RAJAM,ANDHRA PRADESH,SRIKAKULAM,2019
3308,Dharmana Prasada Rao,YSRCP,2,12th Pass,60,138648816,7407231,SRIKAKULAM,ANDHRA PRADESH,SRIKAKULAM,2019
3309,Atchannaidu Kinjarapu,TDP,1,12th Pass,49,71315903,19431538,TEKKALI,ANDHRA PRADESH,SRIKAKULAM,2019
3310,Amarnath Gudivada,YSRCP,5,Graduate Professional,35,53258137,0,ANAKAPALLI,ANDHRA PRADESH,VISAKHAPATNAM,2019
3311,Chetti Palguna,YSRCP,0,Graduate,57,3252000,730238,ARAKU VALLEY,ANDHRA PRADESH,VISAKHAPATNAM,2019
3312,Muttamsetti Srinivasa Rao,YSRCP,0,12th Pass,52,355713877,50431712,BHIMLI,ANDHRA PRADESH,VISAKHAPATNAM,2019
3313,Nagi Reddy Tippala,YSRCP,0,10th Pass,66,165257295,2320306,GAJUWAKA,ANDHRA PRADESH,VISAKHAPATNAM,2019
3314,Budi Mutyala Naidu,YSRCP,1,12th Pass,56,18010979,550000,MADUGULA,ANDHRA PRADESH,VISAKHAPATNAM,2019
3315,Uma Sankara Ganesh Petla,YSRCP,2,Graduate,46,6674379,741310,NARSIPATNAM,ANDHRA PRADESH,VISAKHAPATNAM,2019
3316,Kottagulli Bhagya Lakshmi,YSRCP,0,Post Graduate,36,5698000,3200000,PADERU,ANDHRA PRADESH,VISAKHAPATNAM,2019
3317,Baburao Golla,YSRCP,0,Post Graduate,64,38792807,11100000,PAYAKARAOPETA,ANDHRA PRADESH,VISAKHAPATNAM,2019
3318,Annamreddy Adeep Raj,YSRCP,2,12th Pass,35,61648737,14845855,PENDURTHI,ANDHRA PRADESH,VISAKHAPATNAM,2019
3319,Ganta Srinivasa Rao,TDP,3,Graduate Professional,59,257584385,10096854,VISAKHAPATNAM  NORTH,ANDHRA PRADESH,VISAKHAPATNAM,2019
3320,Gana Venkata Reddy Naidu Pethakamsetti (Gana Babu),TDP,0,Graduate,49,251971095,9367796,VISAKHAPATNAM  WEST,ANDHRA PRADESH,VISAKHAPATNAM,2019
3321,Ramakrishna Babu Velagapudi,TDP,0,Graduate,59,178450780,14192252,VISAKHAPATNAM EAST,ANDHRA PRADESH,VISAKHAPATNAM,2019
3322,Ganesh Kumar Vasupalli,TDP,3,Graduate Professional,55,323964379,231398295,VISAKHAPATNAM SOUTH,ANDHRA PRADESH,VISAKHAPATNAM,2019
3323,Uppalapati Venkata Ramanamurthy Raju,YSRCP,1,Graduate,66,381530530,122669606,YELAMANCHILI,ANDHRA PRADESH,VISAKHAPATNAM,2019
3324,Sambangi Venkata China Appala Naidu,YSRCP,0,12th Pass,65,51922543,2709050,BOBBILI,ANDHRA PRADESH,VIZIANAGARAM,2019
3325,Botcha Satyanarayana,YSRCP,0,Graduate,60,82366785,14505343,CHEEPURUPALLE,ANDHRA PRADESH,VIZIANAGARAM,2019
3326,Botcha Appalanarasayya,YSRCP,0,Graduate Professional,56,93009521,4062937,GAJAPATHINAGARAM,ANDHRA PRADESH,VIZIANAGARAM,2019
3327,Pamula Pushpa Sreevani,YSRCP,1,Graduate Professional,33,12429438,2750000,KURUPAM,ANDHRA PRADESH,VIZIANAGARAM,2019
3328,Appala Naidu Baddukonda,YSRCP,0,Graduate,45,82832136,1.00E+06,NELLIMARLA,ANDHRA PRADESH,VIZIANAGARAM,2019
3329,Alajangi Jogarao,YSRCP,0,Post Graduate,46,57535010,13381148,PARVATHIPURAM,ANDHRA PRADESH,VIZIANAGARAM,2019
3330,Peedika Rajanna Dora,YSRCP,0,Post Graduate,54,20044512,2351171,SALUR,ANDHRA PRADESH,VIZIANAGARAM,2019
3331,Kadubandi Srinivasa Rao,YSRCP,0,Post Graduate,52,5.90E+07,0,SRUNGAVARAPUKOTA,ANDHRA PRADESH,VIZIANAGARAM,2019
3332,Kolagatla Veerabhadra Swamy,YSRCP,3,12th Pass,59,137110650,38396468,VIZIANAGARAM,ANDHRA PRADESH,VIZIANAGARAM,2019
3333,Cherukuvada Sriranganadha Raju,YSRCP,0,8th Pass,66,441837720,122485291,ACHANTA,ANDHRA PRADESH,WEST GODAVARI,2019
3334,Srinivas Grandhi,YSRCP,0,12th Pass,55,393710194,76698459,BHIMAVARAM,ANDHRA PRADESH,WEST GODAVARI,2019
3335,Vunnamatla Rakada Eliza,YSRCP,0,Graduate,58,44968609,2022000,CHINTALAPUDI,ANDHRA PRADESH,WEST GODAVARI,2019
3336,Abbaya Chowdary Kothari,YSRCP,2,Graduate Professional,37,156435086,62110023,DENDULURU,ANDHRA PRADESH,WEST GODAVARI,2019
3337,Alla Kali Krishna Srinivas,YSRCP,0,12th Pass,49,48294582,1181840,ELURU,ANDHRA PRADESH,WEST GODAVARI,2019
3338,Talari Venkatrao,YSRCP,0,Others,51,42200658,1950232,GOPALAPURAM,ANDHRA PRADESH,WEST GODAVARI,2019
3339,Taneti Vanita,YSRCP,0,Post Graduate,45,103171112,10261441,KOVVUR,ANDHRA PRADESH,WEST GODAVARI,2019
3340,Mudunuri Naga Raja Vara Prasada Raju,YSRCP,1,10th Pass,45,22334254,248000,NARASAPURAM,ANDHRA PRADESH,WEST GODAVARI,2019
3341,Geddam Srinivas Naidu,YSRCP,0,Post Graduate,50,342356234,163041560,NIDADAVOLE,ANDHRA PRADESH,WEST GODAVARI,2019
3342,Dr. Nimmala Ramanaidu,TDP,0,Doctorate,49,97604094,1181146,PALACOLE,ANDHRA PRADESH,WEST GODAVARI,2019
3343,Tellam Balaraju,YSRCP,2,12th Pass,44,16383066,3981792,POLAVARAM,ANDHRA PRADESH,WEST GODAVARI,2019
3344,Kottu Satyanarayana,YSRCP,0,12th Pass,63,83159935,16066955,TADEPALLIGUDEM,ANDHRA PRADESH,WEST GODAVARI,2019
3345,Karumuri Venkata Nageswara Rao,YSRCP,0,5th Pass,54,152820000,17800000,TANUKU,ANDHRA PRADESH,WEST GODAVARI,2019
3346,Ramaraju Mantena,TDP,0,8th Pass,42,417504346,80077208,UNDI,ANDHRA PRADESH,WEST GODAVARI,2019
3347,Puppala Srinivasarao,YSRCP,0,12th Pass,51,71418406,5412000,UNGUTURU,ANDHRA PRADESH,WEST GODAVARI,2019
3348,Dasanglu Pul,BJP,0,12th Pass,41,60298771,0,HAYULIANG,ARUNACHAL PRADESH,ANJAW,2019
3349,Somlung Mossang,IND,0,10th Pass,49,11519048,0,BORDUMSA - DIYUM,ARUNACHAL PRADESH,CHANGLANG,2019
3350,Tesam Pongte,BJP,0,Graduate,43,27420269,0,CHANGLANG NORTH,ARUNACHAL PRADESH,CHANGLANG,2019
3351,Phosum Khimhun,BJP,0,12th Pass,59,49714768,0,CHANGLANG SOUTH,ARUNACHAL PRADESH,CHANGLANG,2019
3352,Kamlung Mosang,BJP,0,Graduate Professional,57,60726906,0,MIAO,ARUNACHAL PRADESH,CHANGLANG,2019
3353,Laisam Simai,BJP,0,Graduate,44,7527943,0,NAMPONG,ARUNACHAL PRADESH,CHANGLANG,2019
3354,Mopi Mihu,BJP,0,5th Pass,47,22020000,0,ANINI,ARUNACHAL PRADESH,DIBANG VALLEY,2019
3355,Goruk Pordung,BJP,0,Literate,41,39248693,0,BAMENG,ARUNACHAL PRADESH,EAST KAMENG,2019
3356,Hayeng Mangfi,JD(U),0,Graduate Professional,44,280385280,177009000,CHAYANG TAJO,ARUNACHAL PRADESH,EAST KAMENG,2019
3357,Biyuram Wahge,BJP,0,10th Pass,54,70775000,2980000,PAKKE KESSANG,ARUNACHAL PRADESH,EAST KAMENG,2019
3358,Tapuk Taku,NPP,2,12th Pass,49,46660217,1512463,SEPPA EAST,ARUNACHAL PRADESH,EAST KAMENG,2019
3359,Mama Natung,BJP,0,12th Pass,47,93646070,2329456,SEPPA WEST,ARUNACHAL PRADESH,EAST KAMENG,2019
3360,Lombo Tayeng,INC,0,Graduate,55,1485405994,0,MEBO,ARUNACHAL PRADESH,EAST SIANG,2019
3361,Kento Rina,BJP,0,Graduate Professional,63,23059141,0,NARI-KOYU,ARUNACHAL PRADESH,EAST SIANG,2019
3362,Kaling Moyong,BJP,0,12th Pass,48,26927300,0,PASIGHAT EAST,ARUNACHAL PRADESH,EAST SIANG,2019
3363,Ninong Ering,INC,0,Graduate,60,92441000,0,PASIGHAT WEST,ARUNACHAL PRADESH,EAST SIANG,2019
3364,Lokam Tassar,BJP,2,10th Pass,55,113427448,34598854,KOLORIANG,ARUNACHAL PRADESH,KURUNGKUMEY,2019
3365,Bamang Felix,BJP,0,12th Pass,46,21928686,0,NYAPIN,ARUNACHAL PRADESH,KURUNGKUMEY,2019
3366,Balo Raja,BJP,0,Graduate,49,100945989,2600826,PALIN,ARUNACHAL PRADESH,KURUNGKUMEY,2019
3367,Jikke Tako,JD(U),0,Post Graduate,37,28844000,0,TALI,ARUNACHAL PRADESH,KURUNGKUMEY,2019
3368,Karikho Kri,IND,5,10th Pass,45,188547815,74177,TEZU,ARUNACHAL PRADESH,LOHIT,2019
3369,Gabriel Denwang Wangsu,BJP,0,Graduate,46,15978581,0,KANUBARI,ARUNACHAL PRADESH,LONGDING,2019
3370,Tanpho Wangnaw,BJP,2,Graduate,53,23242668,0,LONGDING PUMAO,ARUNACHAL PRADESH,LONGDING,2019
3371,Honchun Ngandam,BJP,0,Graduate,53,65508337,0,PONGCHAO WAKKA,ARUNACHAL PRADESH,LONGDING,2019
3372,Gum Tayeng,BJP,0,12th Pass,76,45724097,0,DAMBUK,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,2019
3373,Mutchu Mithi,NPP,0,Graduate,40,40060000,0,ROING,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,2019
3374,Taba Tedir,BJP,0,Graduate Professional,55,499848254,3766514,YACHULI,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,2019
3375,Tage Taki,BJP,0,Graduate Professional,59,85714668,2425518,ZIRO HAPOLI,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,2019
3376,Chowna Mein,BJP,0,Graduate,68,647052762,801595,CHOWKHAM,ARUNACHAL PRADESH,NAMSAI,2019
3377,Jummum Ete Deori,BJP,0,12th Pass,45,24651117,1618128,LEKANG,ARUNACHAL PRADESH,NAMSAI,2019
3378,Chau Zingnu Namchoom,BJP,0,Graduate,42,278511092,9886381,NAMSAI,ARUNACHAL PRADESH,NAMSAI,2019
3379,Tana Hali Tara,BJP,0,10th Pass,51,841880000,0,DOIMUKH,ARUNACHAL PRADESH,PAPUMPARE,2019
3380,Techi Kaso,JD(U),0,Illiterate,61,318685930,4.00E+07,ITANAGAR,ARUNACHAL PRADESH,PAPUMPARE,2019
3381,Nabam Tuki,INC,1,Graduate,51,1001939533,204955775,SAGALEE,ARUNACHAL PRADESH,PAPUMPARE,2019
3382,Pasang Dorjee Sona,BJP,0,Graduate,47,21689021,0,MECHUKHA,ARUNACHAL PRADESH,SHI-YOMI,2019
3383,Ojing Tasing,BJP,3,Graduate,39,10406799,0,PANGIN,ARUNACHAL PRADESH,SIANG,2019
3384,Talem Taboh,JD(U),0,Graduate Professional,51,96715482,0,RUMGONG,ARUNACHAL PRADESH,SIANG,2019
3385,Jambey Tashi,BJP,0,Graduate,44,402354880,30265195,LUMLA,ARUNACHAL PRADESH,TAWANG,2019
3386,Tsering Lhamu,BJP,0,Post Graduate,48,622111121,3508786,LUMLA,ARUNACHAL PRADESH,TAWANG,2019
3387,Pema Khandu,BJP,0,Graduate,39,1635058142,0,MUKTO,ARUNACHAL PRADESH,TAWANG,2019
3388,Tsering Tashi,BJP,0,Graduate,38,1094393772,0,TAWANG,ARUNACHAL PRADESH,TAWANG,2019
3389,anglin Lowangdong,INC,0,Graduate,63,86203271,0,BORDURIA BOGAPANI,ARUNACHAL PRADESH,TIRAP,2019
